OriginInstruction,Instruction,Summary,Category,User story
"{""instruction"": ""Classify each of the following as having two or four legs: human, horse, dog, cat, monkey, kangaroo, boar"", ""context"": """", ""response"": ""Human: Two Legs\nHorse: Four Legs\nDog: Four Legs\nCat: Four Legs\nMonkey: Two Legs\nKangaroo: Two Legs\nBoar: Four Legs"", ""category"": ""classification""}","Definition: In this task, classify each of the provided animals as having two legs or four legs based on their anatomy. Emphasis & Caution: - Things to avoid: -",Group animals by whether they have two or four legs.,Commonsense Classification,"As an educator, I want to classify animals by leg count to create engaging and educational activities for students."
"{""instruction"": ""Tell me whether these are European countries or Asian countries: Spain, France, Norway, the Czech Republic, Denmark, Portugal, Brazil, South Africa, Canada, China, Japan, Malaysia, Singapore, Sri Lanka, The Philippines"", ""context"": """", ""response"": ""Not all of them are European countries or Asian countries! Brazil, South Africa, Canada are not part of Europe or Asia. \n\nThese are the European countries: Spain, France, Norway, the Czech Republic, Denmark, Portugal\n\nAnd these are Asian countries: China, Japan, Malaysia, Singapore, Sri Lanka, The Philippines"", ""category"": ""classification""}","Definition: In this task, identify whether the provided countries are in Europe or Asia, while excluding those outside these continents. Emphasis & Caution: - Things to avoid: -","Classify countries as European, Asian, or neither.",Commonsense Classification,"As a geography teacher, I want to classify countries by continent to enhance students¡¯ understanding of global geography."
"{""instruction"": ""Categorize each of the following fundamental particles as either interacting via the strong force, the electromagnetic force, the weak force,  or the gravitation force: a neutrino, an electron, a proton, a neutron."", ""context"": """", ""response"": ""A neutrino interacts through the weak force.\nAn electron interacts through the electromagnetic force and the gravitational force.\nA proton interacts via the strong force , the electromagnetic force and the gravitational force.\nA neutron interacts via the strong force and the gravitational force."", ""category"": ""classification""}","Definition: In this task, categorize fundamental particles based on the forces they interact with (strong, electromagnetic, weak, or gravitational). Emphasis & Caution: - Things to avoid: -",Match particles to the fundamental forces they interact with.,Entity Relation Classification,"As a physics student, I want to classify particles by their fundamental interactions to deepen my understanding of physical forces."
"{""instruction"": ""Classify each of the following as either a type of coffee bean or a Latin dance style: bachata, huehuetenango, tango, Jamaican Blue mountain, merengue, salsa, Tanzanian Peaberry, Ethiopian Harrar, Kenya AA, flamenco"", ""context"": """", ""response"": ""Coffee bean: huehuetenango, Jamaican Blue mountain, Tanzanian Peaberry, Ethiopian Harrar, Kenya AA\nLatin dance style: bachata, tango, merengue, salsa, flamenco"", ""category"": ""classification""}","Definition: In this task, classify each item in the provided list as either a type of coffee bean or a Latin dance style. Emphasis & Caution: Be cautious of terms that might seem ambiguous or unfamiliar. Things to avoid: Avoid guessing classifications without verification.",Separate coffee beans from Latin dance styles.,Word Relation Classification,"As a cultural enthusiast, I want to categorize terms into coffee beans or dance styles to enhance my appreciation for both traditions, while ensuring accurate classifications."
"{""instruction"": ""Identify which instrument is string or percussion: Kisanji, Tonkori"", ""context"": """", ""response"": ""Tonkori is string, Kisanji is percussion."", ""category"": ""classification""}","Definition: In this task, classify each instrument as either a string instrument or a percussion instrument. Emphasis & Caution: Be mindful of instruments with multiple classifications or ambiguous names. Things to avoid: Avoid classifying instruments without proper verification.",Categorize instruments as string or percussion.,Entity Relation Classification,"As a musician, I want to classify instruments correctly to ensure a clear understanding of their roles in compositions, while ensuring no instrument is miscategorized."
"{""instruction"": ""Which of the following ski resorts are in Colorado and which are in Utah: Alta Ski Area, Brighton Ski Resort, Snowbird, Solitude Mountain Resort, Deer Valley Resort, Park City Mountain,  Woodward Park City, Nordic Valley Resort, Powder Mountain, Snowbasin, Sundance Resort, Beaver Mountain Resort, Cherry Peak Resort, Brian Head Resort, Eagle Point Resort, Keystone, Copper Mountain, Vail Resort, Beaver Creek, Eldora"", ""context"": """", ""response"": ""The following ski resorts are in Utah: Alta Ski Area, Brighton Ski Resort, Snowbird, Solitude Mountain Resort, Deer Valley Resort, Park City Mountain,  Woodward Park City, Nordic Valley Resort, Powder Mountain, Snowbasin, Sundance Resort, Beaver Mountain Resort, Cherry Peak Resort, Brian Head Resort, Eagle Point Resort. The following ski resorts are in Colorado: Keystone, Copper Mountain, Vail Resort, Beaver Creek, Eldora"", ""category"": ""classification""}","Definition: In this task, classify the provided ski resorts into those located in Colorado or Utah. Emphasis & Caution: - Things to avoid: -",Identify which ski resorts are in Colorado and which are in Utah.,Commonsense Classification,"As a travel enthusiast, I want to classify ski resorts by location to plan vacations more effectively."
"{""instruction"": ""Tell me which of the eight planets in our solar system have moons and which do not. Classify the planets into 'No Moon', 'One Moon', and 'Multiple Moons'. The planets are: Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune."", ""context"": """", ""response"": ""No Moon: Mercury and Venus.\nOne Moon: Earth and Mars.\nMultiple Moons: Jupiter, Saturn, Uranus, and Neptune."", ""category"": ""classification""}","Definition: In this task, classify the eight planets in our solar system into categories based on their number of moons: no moons, one moon, or multiple moons. Emphasis & Caution: - Things to avoid: -",Categorize planets by the number of moons they have.,Commonsense Classification,"As an astronomy student, I want to classify planets by their moons to better understand the characteristics of the solar system."
"{""instruction"": ""Identify which instrument is string or percussion: Igil, Bara"", ""context"": """", ""response"": ""Bara is percussion, Igil is string."", ""category"": ""classification""}","Definition: In this task, classify the instruments provided as either string instruments or percussion instruments. Emphasis & Caution: - Things to avoid: -",Identify whether the instruments are string or percussion.,Entity Relation Classification,"As a music enthusiast, I want to classify instruments correctly to deepen my knowledge of their types."
"{""instruction"": ""Identify which animal species is alive or extinct: Simbakubwa, Arctic Wolf"", ""context"": """", ""response"": ""Arctic Wolf is alive, Simbakubwa is extinct."", ""category"": ""classification""}","Definition: In this task, classify each animal species as alive or extinct. Emphasis & Caution: - Things to avoid: -",Classify animals into categories of alive or extinct.,Commonsense Classification,"As a zoology researcher, I want to classify species by their conservation status to better understand biodiversity."
"{""instruction"": ""Identify which car manufacturer is French or American: Peugeot, Ford"", ""context"": """", ""response"": ""Peugeot is French, Ford is American"", ""category"": ""classification""}","Definition: In this task, classify the provided car manufacturers as either French or American. Emphasis & Caution: - Things to avoid: -",Identify whether the car manufacturers are French or American.,Entity Relation Classification,"As a car enthusiast, I want to categorize car manufacturers by country of origin to improve my knowledge of global automotive brands."
"{""instruction"": ""classify each of the following as living or non-living: dog, table, cat, tree, pen, book."", ""context"": """", ""response"": ""living: dog, cat, tree\nnon-living: table, pen, book"", ""category"": ""classification""}","Definition: In this task, classify each item in the provided list as either living or non-living. Emphasis & Caution: - Things to avoid: -",Categorize items into living or non-living groups.,Commonsense Classification,"As an educator, I want to classify objects as living or non-living to create an engaging learning activity for students."
"{""instruction"": ""Which is a bird or fish: Bluethroat, Blue catfish"", ""context"": """", ""response"": ""Bluethroat is a bird, Blue catfish is a fish"", ""category"": ""classification""}","Definition: In this task, classify the provided items as either a bird or a fish. Emphasis & Caution: - Things to avoid: -",Identify whether each item is a bird or a fish.,Entity Relation Classification,"As a biology student, I want to classify species into birds or fish to enhance my understanding of their traits."
"{""instruction"": ""Classify each of these things as either \""Able to fit in a bread box\"" or \""Unable to fit in a bread box\"": an elephant, a hockey stick, a loaf of bread, an ant, a lightbulb, a ceiling fan, a pair of blue jeans"", ""context"": """", ""response"": ""An elephant: Unable to fit in a bread box\nA hockey stick: Unable to fit in a bread box\nA loaf of bread: Able to fit in a bread box\nAn ant: Able to fit in a bread box\nA lightbulb: Able to fit in a bread box\nA ceiling fan: Unable to fit in a bread box\nA pair of blue jeans: Able to fit in a bread box"", ""category"": ""classification""}","Definition: In this task, classify items based on whether they can fit in a bread box or not. Emphasis & Caution: - Things to avoid: -",Determine if the provided items are able to fit in a bread box or not.,Commonsense Classification,"As a trivia creator, I want to classify items by their size to design an interesting and relatable quiz."
"{""instruction"": ""Identify the differences in recognizing the signs of a heart attack versus a stroke from the following: shortness of breath, sudden numbness or weakness of face, arm, or leg, nausea, sweating, sudden confusion, and severe headaches."", ""context"": """", ""response"": ""Heart attack signs: shortness of breath, sweating, nausea\nStroke signs: sudden numbness or weakness of face, arm, or leg; severe headaches, sudden confusion"", ""category"": ""classification""}","Definition: In this task, identify and differentiate the signs of a heart attack from those of a stroke based on the provided symptoms. Emphasis & Caution: - Things to avoid: -",Classify symptoms into heart attack or stroke categories.,Answerability Classification,"As a medical student, I want to differentiate heart attack signs from stroke signs to improve diagnostic accuracy."
"{""instruction"": ""On a backcountry backpacking trip where we expect to cross waterways, categorize each of the following as either 'useful', 'not useful', 'dangerous' or 'neither'.  A chinchilla, a compass, granola, dry bag, seventeen oars, thermite, ten tons of uranium ore."", ""context"": """", ""response"": ""Useful\ncompass\ngranola\ndry bag\nseventeen oars\n\nNot Useful\n\nDangerous\nchinchilla\nthermite\nten tons of uranium ore\n\nNone"", ""category"": ""classification""}","Definition: In this task, classify each item based on its usefulness, danger, or irrelevance for a backcountry backpacking trip that involves crossing waterways. Emphasis & Caution: - Things to avoid: -","Categorize items as useful, not useful, dangerous, or neither for a backcountry trip.",Commonsense Classification,"As an outdoor adventurer, I want to classify items by their utility or risk for a backpacking trip to ensure safe and efficient preparation."
"{""instruction"": ""Classify the countries based on the hemisphere they are located.\nNew Zealand, Tonga, Palau, Hungary, India, Japan, Latvia"", ""context"": """", ""response"": ""Southern hemisphere - New Zealand, Tonga, Palau\nNorthern hemisphere - Hungary, India, Japan, Latvia"", ""category"": ""classification""}","Definition: In this task, classify the provided countries based on whether they are in the Northern or Southern Hemisphere. Emphasis & Caution: - Things to avoid: -",Categorize countries by hemisphere.,Commonsense Classification,"As a geography enthusiast, I want to classify countries by hemisphere to better understand their global positions."
"{""instruction"": ""Classify each of the following football positions as offense or defense: quarterback, running back, linebacker, cornerback, safety, tight end"", ""context"": """", ""response"": ""Quarterback: Offense\nRunning Back: Offense\nLinebacker: Defense\nCornerback: Defense\nSafety: Defense\nTight End: Offense"", ""category"": ""classification""}","Definition: In this task, classify the provided football positions as either offense or defense. Emphasis & Caution: - Things to avoid: -",Categorize football positions as offense or defense.,Word Relation Classification,"As a sports fan, I want to classify football positions to better understand team roles and strategies."
"{""instruction"": ""Classify each of the following as either titles by Ann M. Martin or Gertrude Chandler Warner: Bummer Summer, Belle Teal, A Corner of the Universe, Ten Kids, No Pets, Everything for a Dog, Surprise Island, Blue Bay Mystery, Mystery Ranch, Benny Uncovers a Mystery, The Boxcar Children"", ""context"": """", ""response"": ""Ann M. Martin: Bummer Summer, Belle Teal, A Corner of the Universe, Ten Kids, No Pets, Everything for a Dog\nGertrude Chandler Warner: Surprise Island, Blue Bay Mystery, Mystery Ranch, Benny Uncovers a Mystery, The Boxcar Children"", ""category"": ""classification""}","Definition: In this task, classify each title as being written by either Ann M. Martin or Gertrude Chandler Warner. Emphasis & Caution: - Things to avoid: -",Identify the author for each title.,Word Relation Classification,"As a literary enthusiast, I want to classify titles by their authors to organize my reading list."
"{""instruction"": ""Which is a species of fish? Herring or Hearing"", ""context"": """", ""response"": ""Herring"", ""category"": ""classification""}","Definition: In this task, determine which of the provided options is a species of fish. Emphasis & Caution: - Things to avoid: -",Identify the option that represents a species of fish.,Answerability Classification,"As a trivia participant, I want to identify fish species to answer questions accurately."
"{""instruction"": ""Identify which car manufacturer is British or American: Vauxhall, Tesla"", ""context"": """", ""response"": ""Tesla is American, Vauxhall is British"", ""category"": ""classification""}","Definition: In this task, classify the provided car manufacturers as either British or American. Emphasis & Caution: - Things to avoid: -",Categorize car manufacturers by their country of origin.,Entity Relation Classification,"As a car enthusiast, I want to classify car manufacturers by country to enhance my knowledge of global automotive brands."
"{""instruction"": ""Identify which instrument is string or percussion: Vibraslap, Inanga"", ""context"": """", ""response"": ""Vibraslap is percussion, Inanga is string."", ""category"": ""classification""}","Definition: In this task, classify the provided instruments as either string instruments or percussion instruments. Emphasis & Caution: - Things to avoid: -",Categorize instruments as string or percussion.,Entity Relation Classification,"As a music educator, I want to classify instruments by type to create structured learning materials."
"{""instruction"": ""Out of the following, which one is not a movie: The God Father, Fight Club, Gladiator,  One Hundred Years of Solitude, and Big Fish."", ""context"": """", ""response"": ""The correct answer is Hundred Years of Solitude. It is a popular book written by Gabriel Garcia Marquez."", ""category"": ""classification""}","Definition: In this task, determine which of the provided options is not a movie and provide relevant context. Emphasis & Caution: - Things to avoid: -",Identify the option that is not a movie and explain why.,Answerability Classification,"As a trivia player, I want to identify non-movie options to improve my knowledge in entertainment-related quizzes."
"{""instruction"": ""Classify these vehicles by which go in the water or on land: dune buggy, cruise ship, pirate ship, bulldozer, submarine, sailboat, truck, car, ATV"", ""context"": """", ""response"": ""Water: cruise ship, pirate ship, submarine, sailboat\nLand: dune buggy, bulldozer, truck, car, ATV"", ""category"": ""classification""}","Definition: In this task, classify the provided vehicles based on whether they are used on land or water. Emphasis & Caution: - Things to avoid: -",Categorize vehicles by whether they operate on land or water.,Commonsense Classification,"As a transportation planner, I want to classify vehicles by terrain to better organize transportation resources."
"{""instruction"": ""Identify from this list what creatures are felines: panther, jaguar, elephant, kitten, human child, leopard, tiger, malamute, sofa"", ""context"": """", ""response"": ""Panther, jaguar, kitten, leopard, tiger"", ""category"": ""classification""}","Definition: In this task, identify which of the provided creatures are felines. Emphasis & Caution: - Things to avoid: -",Classify the creatures as felines or non-felines.,Commonsense Classification,"As an animal enthusiast, I want to classify creatures to enhance my knowledge of feline species."
"{""instruction"": ""Identify which instrument is string or percussion: Kanjira, Hommel"", ""context"": """", ""response"": ""Hommel is string, Kanjira is percussion."", ""category"": ""classification""}","Definition: In this task, classify the provided instruments as either string or percussion instruments. Emphasis & Caution: - Things to avoid: -",Categorize instruments as string or percussion.,Entity Relation Classification,"As a music educator, I want to classify instruments by type to better organize teaching materials."
"{""instruction"": ""Are these holidays Christian or Jewish? Passover, Hanukkah, Christmas, Easter, Valentines Day, Yom Kippur, Sukkot, Rosh Hashanah"", ""context"": """", ""response"": ""Passover, Hanukkah, Yom Kippur, Sukkot and Rosh Hashanah are all Jewish holidays. Christmas, Easter and Valentines Day are all Christian holidays."", ""category"": ""classification""}","Definition: In this task, classify the given holidays as either Christian or Jewish. Emphasis & Caution: - Things to avoid: -",Identify whether the holidays are Christian or Jewish.,Commonsense Classification,"As a cultural studies student, I want to categorize holidays by religion to deepen my understanding of their origins and traditions."
"{""instruction"": ""Identify which animal species is alive or extinct: Arctodus, Cross River Gorilla"", ""context"": """", ""response"": ""Cross River Gorilla is alive, Arctodus is extinct"", ""category"": ""classification""}","Definition: In this task, classify each animal species as either alive or extinct. Emphasis & Caution: - Things to avoid: -",Identify whether the animal species are alive or extinct.,Commonsense Classification,"As a zoology enthusiast, I want to classify animal species to understand their current existence status."
"{""instruction"": ""Which of the following are real vs. mythical animals: dove, unicorn, Komodo dragon, Sasquatch, cockatrice, snipe"", ""context"": """", ""response"": ""Real: dove, Komodo dragon, snipe\nMythical: unicorn, Sasquatch, cockatrice\n\nNote that asking someone to go on a 'snipe hunt' to trick them into searching for something that does not exist. So 'snipe' in this context is something that is not real, but there is in fact a real snipe family of birds"", ""category"": ""classification""}","Definition: In this task, classify the given animals as either real or mythical. Emphasis & Caution: Be cautious of terms that might have dual meanings, such as ""snipe."" Things to avoid: Avoid misclassifying animals with nuanced contexts.",Separate real animals from mythical creatures.,Answerability Classification,"As a trivia participant, I want to differentiate real animals from mythical ones to ensure accurate responses during quizzes, while ensuring animals with dual contexts are addressed properly."
"{""instruction"": ""Classify each of the following as either software or hardware: iPhone, iOS 13, Windows 10, Macbook, Windows Server 2012, iPad, Windows 11"", ""context"": """", ""response"": ""iPhone: Hardware\niOS 13: Software\nWindows 10: Software\nMacbook: Hardware\nWindows Server 2012: Software\niPad: Hardware\nWindows 11: Software"", ""category"": ""classification""}","Definition: In this task, classify each item as either software or hardware. Emphasis & Caution: - Things to avoid: -",Categorize the items as software or hardware.,Word Relation Classification,"As a technology student, I want to classify items as software or hardware to improve my understanding of computing concepts."
"{""instruction"": ""Categorize these bands as either 'rock', 'pop', 'metal' or 'indie'. Metallica, Queen, One direction, Korn, Coldplay, Arcade fire, backstreet boys"", ""context"": """", ""response"": ""metal: Metallica, Korn\nrock: Queen, Coldplay\npop: One direction, backstreet boys\nindie: Arcade fire"", ""category"": ""classification""}","Definition: In this task, classify the given bands by their music genres: rock, pop, metal, or indie. Emphasis & Caution: - Things to avoid: -",Categorize bands by their primary music genre.,Word Relation Classification,"As a music enthusiast, I want to classify bands by genre to create personalized playlists."
"{""instruction"": ""Classify each of the following as mainstream media or social media: Twitter, Reddit, CNN, MSNBC, Instagram, Fox News"", ""context"": """", ""response"": ""Twitter: Social Media\nReddit: Social Media\nCNN: Mainstream Media\nMSNBC: Mainstream Media\nInstagram: Social Media\nFox News: Mainstream Media"", ""category"": ""classification""}","Definition: In this task, classify the given platforms as either mainstream media or social media. Emphasis & Caution: - Things to avoid: -",Identify platforms as either mainstream or social media.,Commonsense Classification,"As a media analyst, I want to classify platforms to better understand the distinction between traditional and digital media."
"{""instruction"": ""Which of the following months has 31 days? January, February, March, April, May, June, July, August, September, October, November, December"", ""context"": """", ""response"": ""January, March, May, July, August, October and December have 31 days."", ""category"": ""classification""}","Definition: In this task, classify the given months based on whether they have 31 days. Emphasis & Caution: - Things to avoid: -",Identify which months have 31 days.,Commonsense Classification,"As a calendar organizer, I want to classify months by their number of days to assist with accurate scheduling."
"{""instruction"": ""Choose the word which is different from the rest:  Car, Scooter, Helicopter, Aeroplane, Cycle"", ""context"": """", ""response"": ""All except Cycle run on fuel."", ""category"": ""classification""}","Definition: In this task, you are asked to select the word that differs from the rest based on its unique characteristics. Consider attributes such as functionality, usage, or how the items are powered. Emphasis & Caution: - Things to avoid: -",Identify the word that differs from the rest.,Answerability Classification,"As a problem solver, I want to identify the outlier in a list to enhance logical reasoning skills."
"{""instruction"": ""Which of these are brands for clothing: Ford, Samsung, H&M, Tommy Hilfiger, Jack & Jones, Kingfisher"", ""context"": """", ""response"": ""H&M, Tommy Hilfiger, Jack & Jones"", ""category"": ""classification""}","Definition: In this task, you are asked to classify the provided names to determine which are recognized clothing brands. Focus on identifying companies or labels known for producing and selling clothing items. Emphasis & Caution: - Things to avoid: -",Identify which names represent clothing brands.,Word Relation Classification,"As a consumer, I want to classify names as clothing brands to make informed shopping decisions."
"{""instruction"": ""Classify these as animals or vehicles: helicopter, car, sheep, dog, bike, bus, van, tiger, cat, llama, deer, tractor, airplane, ship, rabbit, snake"", ""context"": """", ""response"": ""The animals are: helicopter, car, bike, bus, van, tractor, ship\nThe vehicles are: sheep, dog, tiger, cat, llama, deer, rabbit, snake"", ""category"": ""classification""}","Definition: In this task, classify each of the provided items into one of two categories: animals or vehicles. For animals, consider living organisms, and for vehicles, consider machines used for transportation. Emphasis & Caution: - Things to avoid: -",Categorize the items as animals or vehicles.,Commonsense Classification,"As an educator, I want to classify objects to create engaging and educational exercises for students."
"{""instruction"": ""Which of the following are US presidents and which are Hollywood actors: Jimmy Carter, George Washington, Denzel Washington, Daniel Day Lewis, Abraham Lincoln, and Ronald Reagan."", ""context"": """", ""response"": ""The presidents are: George Washington, Jimmy Carter, Abraham Lincoln, and Ronald Reagan. The Hollywood actors are: Daniel Day Lewis, Denzel Washington, and Ronald Reagan, who was an actor prior to becoming president."", ""category"": ""classification""}","Definition: In this task, you need to identify whether each name provided belongs to a US president or a Hollywood actor. Focus on historical or entertainment-related contexts to make your classifications. Emphasis & Caution: - Things to avoid: -",Identify which names belong to US presidents and which belong to Hollywood actors.,Commonsense Classification,"As a history and entertainment enthusiast, I want to classify names as presidents or actors to better understand their contributions."
"{""instruction"": ""Which of the followings are Chinese martial arts? Tai chi, Shaolin, Wing chun, Boxing, Taekwondo, Karate"", ""context"": """", ""response"": ""Tai chi, Shaolin, and Wing chun are Chinese martial arts. Notably Bruce Lee was a practitioner of Wing chun.\n\nBoxing, Taekwondo, and Karate are not Chinese martial arts."", ""category"": ""classification""}","Definition: In this task, identify which martial arts from the provided list are Chinese and which are not. Consider the origin and cultural context of each martial art while making your classifications. Emphasis & Caution: - Things to avoid: -",Classify martial arts as Chinese or non-Chinese.,Word Relation Classification,"As a martial arts enthusiast, I want to classify martial arts by origin to learn about their cultural significance."
"{""instruction"": ""Identify which instrument is string or percussion: Naqareh, Liuqin"", ""context"": """", ""response"": ""Liuqin is string, Nagareh is percussion."", ""category"": ""classification""}","Definition: In this task, classify the provided instruments into one of two categories: string instruments or percussion instruments. Base your classification on how the instrument produces sound (e.g., vibration of strings or striking surfaces). Emphasis & Caution: - Things to avoid: -",Categorize instruments as string or percussion.,Entity Relation Classification,"As a musician, I want to classify instruments to understand their usage and sound production."
"{""instruction"": ""Identify which car manufacturer is British or American: McLaren, Dodge"", ""context"": """", ""response"": ""Dodge is American, McLaren is British"", ""category"": ""classification""}","Definition: In this task, classify each car manufacturer from the list as either British or American. Pay attention to the country where the manufacturer is headquartered or has its origins. Emphasis & Caution: - Things to avoid: -",Categorize car manufacturers by their country of origin.,Entity Relation Classification,"As a car enthusiast, I want to classify car manufacturers by country to expand my knowledge of automotive history."
"{""instruction"": ""Is a tomato a fruit or a vegetable?"", ""context"": """", ""response"": ""Tomatoes are fruits because they form from a flower and contain seeds."", ""category"": ""classification""}","Definition: In this task, determine whether a tomato is classified as a fruit or a vegetable. Use botanical definitions where fruits develop from the ovary of a flower and contain seeds, whereas vegetables refer to other plant parts. Emphasis & Caution: - Things to avoid: -",Identify whether a tomato is a fruit or a vegetable.,Answerability Classification,"As a biology student, I want to classify tomatoes correctly to better understand botanical definitions."
"{""instruction"": ""Classify these as winter or summer sports: beach volleyball, cross country skiing, biathlon, triathlon, kayaking"", ""context"": """", ""response"": ""beach volleyball: summer, cross country skiing: winter, biathlon: winter, triathlon: summer, kayaking: summer"", ""category"": ""classification""}","Definition: In this task, classify the provided sports based on whether they are considered winter sports or summer sports. Take into account the typical weather or season in which the sport is practiced. Emphasis & Caution: - Things to avoid: -",Categorize sports as winter or summer activities.,Commonsense Classification,"As a sports enthusiast, I want to classify sports by season to plan seasonal activities."
"{""instruction"": ""Identify which instrument is string or percussion: Rattle, Cak"", ""context"": """", ""response"": ""Cak is string, Rattle is percussion."", ""category"": ""classification""}","Definition: In this task, classify the given instruments into two categories: string instruments or percussion instruments. Consider the method of sound production for each instrument to determine its classification. Emphasis & Caution: - Things to avoid: -",Categorize instruments as string or percussion.,Entity Relation Classification,"As a music educator, I want to classify instruments to create structured lessons for students."
"{""instruction"": ""Identify which instrument is string or percussion: Udu, Bulbul tarang"", ""context"": """", ""response"": ""Bulbul tarang is string, Udu is percussion."", ""category"": ""classification""}","Definition: In this task, classify the provided instruments as either string instruments or percussion instruments. This classification should be based on how the instrument produces sound, either by vibrating strings or by striking surfaces. Emphasis & Caution: - Things to avoid: -",Categorize instruments as string or percussion.,Entity Relation Classification,"As a music educator, I want to classify instruments to create structured learning materials for students."
"{""instruction"": ""Identify which instrument is string or woodwind: Harpsichord, Quena"", ""context"": """", ""response"": ""Quena is woodwind, Harpsichord is string."", ""category"": ""classification""}","Definition: In this task, classify the given instruments as either string or woodwind based on their primary method of sound production, such as vibrating strings or airflow through a reed or tube. Emphasis & Caution: - Things to avoid: -",Categorize instruments as string or woodwind.,Entity Relation Classification,"As a musician, I want to classify instruments correctly to better understand their roles in compositions."
"{""instruction"": ""Tell me whether these people are authors or actors: Ernest Hemingway, Stephen King, George Orwell, Johnny Depp, George Clooney, Jonah Hill"", ""context"": """", ""response"": ""Ernest Hemingway: Author\nStephen King: Author\nGeorge Orwell: Author\nJohnny Depp: Actor\nGeorge Clooney: Actor\nJonah Hill: Actor"", ""category"": ""classification""}","Definition: In this task, classify the provided individuals as either authors or actors based on their primary professional contributions. Use knowledge of literature and entertainment to make your classifications. Emphasis & Caution: - Things to avoid: -",Classify the individuals as authors or actors.,Commonsense Classification,"As a literature and film enthusiast, I want to categorize individuals to enhance my understanding of their achievements."
"{""instruction"": ""Identify which animal is domesticated or wild: Cows (Cattle), Cheetah"", ""context"": """", ""response"": ""Cheetah is wild, Cows (Cattle) is domesticated."", ""category"": ""classification""}","Definition: In this task, classify the given animals as either domesticated or wild based on their usual behavior and relationship with humans. Domesticated animals are typically bred and raised by humans, while wild animals live independently in nature. Emphasis & Caution: - Things to avoid: -",Classify animals as domesticated or wild.,Commonsense Classification,"As an animal lover, I want to classify animals to deepen my understanding of their habitats and interactions with humans."
"{""instruction"": ""Classify the following shapes by which have 4 sides or which have more than 4 sides: Hexagon, square, rectangle, octagon, decagon, rhombus, parallelogram, pentagon, dodecahedron, heptagon"", ""context"": """", ""response"": ""4 sides: Square, rectangle, rhombus, parallelogram\nMore than 4 sides: Hexagon, octagon, decagon, pentagon, dodecahedron, heptagon"", ""category"": ""classification""}","Definition: In this task, classify the provided shapes into two categories: those with four sides and those with more than four sides. Consider the number of edges for each geometric figure to make your classifications. Emphasis & Caution: - Things to avoid: -",Categorize shapes by the number of sides.,Answerability Classification,"As a geometry student, I want to classify shapes by their sides to improve my understanding of their properties."
"{""instruction"": ""Tell me which of these are fire-type Pokemon: Arcanine, Lapras, Glalie, Spheal, Magmar, Houndour, Entei, Ho-oh, Torchic, Kyurem, Cubchoo, Beartic, Numel, Ninetales, Rotom, Mamoswine"", ""context"": """", ""response"": ""Arcanine, Magmar, Houndour, Entei, Ho-oh, Torchic, Numel, Ninetales, Rotom"", ""category"": ""classification""}","Definition: In this task, identify which of the provided Pokemon are classified as fire-type. Use the Pok¨¦mon's elemental type as specified in the Pok¨¦mon series to make your classifications. Emphasis & Caution: - Things to avoid: -",Identify fire-type Pokemon from the list.,Entity Relation Classification,"As a Pok¨¦mon fan, I want to classify Pokemon by type to better understand their strengths and weaknesses in battles."
"{""instruction"": ""Classify the below aircrafts based on their utility.\nF-35, F-22, J-20, Su-57 and the F/A-18, Airbus A380, Boeing 747-8"", ""context"": """", ""response"": ""Fighter jets - F-35, F-22, J-20, Su-57 and the F/A-18\nPassanger aircrafts - Airbus A380 and Boeing 747-8"", ""category"": ""classification""}","Definition: In this task, classify the provided aircraft based on their primary utility. Fighter jets are used for military combat, while passenger aircraft are used for transporting people. Emphasis & Caution: - Things to avoid: -",Categorize aircraft as fighter jets or passenger aircraft.,Commonsense Classification,"As an aviation enthusiast, I want to classify aircraft by utility to enhance my knowledge of their functions."
"{""instruction"": ""Identify which instrument is string or percussion: Jew's Harp, Bass Stick"", ""context"": """", ""response"": ""Bass Stick is string, Jew's Harp is percussion."", ""category"": ""classification""}","Definition: In this task, classify the given instruments as either string instruments or percussion instruments. Focus on the instrument's sound production mechanism to determine its type. Emphasis & Caution: - Things to avoid: -",Categorize instruments as string or percussion.,Entity Relation Classification,"As a musician, I want to classify instruments accurately to better understand their usage in various musical compositions."
"{""instruction"": ""Classify the below based on the products they sell.\nAdidas, nike, Pepsi, Sprite, Fanta, FILA"", ""context"": """", ""response"": ""Adidas, nike, FILA - Shoe\nPepsi, Sprite, Fanta - Beverages"", ""category"": ""classification""}","Definition: In this task, classify the provided brands based on the products they are known for. Brands such as Adidas and Nike are associated with shoes, while Pepsi and Sprite are known for beverages. Emphasis & Caution: - Things to avoid: -",Categorize brands by the products they sell.,Word Relation Classification,"As a consumer, I want to classify brands by their products to make informed purchasing decisions."
